plate,row,col,OD600.1,OD600.2,OD750.1,OD750.2,Blank1od600,blank2od600,blank1od750,blank2od750,od600mean.blanked,od750mean.blanked,od600.fancyblankmean,od750.fancyblankmean,Note: blank is 2xK at 70ul for col 1-10 and 50ul for col 11 and 12,"plate 18 so cols 7 and 8, row C tiny amount cross contam bt these 2",regular blanked is just average of two wells where each has blank subtracted and fancy blank sets wells to zero if they are less than their corresponding blank value
1,A,1,0.074,0.059,0.061,0.051,0.039,0.038,0.038,0.037,0.028,0.0185,0.028,0.0185,,,
1,A,2,0.045,0.043,0.043,0.041,0.041,0.038,0.042,0.038,0.0045,0.002,0.0045,0.002,,,
1,A,3,0.041,0.038,0.041,0.04,0.04,0.038,0.041,0.04,0.0005,0,0.0005,0,,,
1,A,4,0.049,0.051,0.048,0.053,0.04,0.038,0.041,0.04,0.011,0.01,0.011,0.01,,,
1,A,5,0.046,0.05,0.044,0.044,0.04,0.038,0.041,0.039,0.009,0.004,0.009,0.004,,,
1,A,6,0.048,0.053,0.045,0.051,0.04,0.038,0.04,0.038,0.0115,0.009,0.0115,0.009,,,
1,B,1,0.044,0.042,0.042,0.04,0.037,0.037,0.037,0.037,0.006,0.004,0.006,0.004,,,
1,B,2,0.043,0.042,0.041,0.04,0.038,0.039,0.038,0.038,0.004,0.0025,0.004,0.0025,,,
1,B,3,0.039,0.04,0.038,0.04,0.038,0.039,0.038,0.039,0.001,0.0005,0.001,0.0005,,,
1,B,4,0.042,0.05,0.042,0.053,0.039,0.039,0.037,0.04,0.007,0.009,0.007,0.009,,,
1,B,5,0.152,0.114,0.148,0.119,0.039,0.038,0.038,0.039,0.0945,0.095,0.0945,0.095,,,
1,B,6,0.048,0.05,0.043,0.042,0.038,0.038,0.038,0.038,0.011,0.0045,0.011,0.0045,,,
1,C,1,0.043,0.042,0.041,0.04,0.039,0.039,0.039,0.038,0.0035,0.002,0.0035,0.002,,,
1,C,2,0.043,0.061,0.042,0.067,0.038,0.038,0.039,0.04,0.014,0.015,0.014,0.015,,,
1,C,3,0.053,0.052,0.047,0.05,0.038,0.039,0.038,0.038,0.014,0.0105,0.014,0.0105,,,
1,C,4,0.043,0.053,0.045,0.052,0.038,0.038,0.04,0.039,0.01,0.009,0.01,0.009,,,
1,C,5,0.077,0.053,0.08,0.049,0.038,0.039,0.04,0.038,0.0265,0.0255,0.0265,0.0255,,,
1,C,6,0.043,0.047,0.04,0.043,0.038,0.038,0.038,0.038,0.007,0.0035,0.007,0.0035,,,
1,D,1,0.038,0.04,0.037,0.039,0.037,0.039,0.036,0.038,0.001,0.001,0.001,0.001,,,
1,D,2,0.066,0.057,0.058,0.05,0.048,0.041,0.046,0.041,0.017,0.0105,0.017,0.0105,,,
1,D,3,0.06,0.076,0.061,0.071,0.038,0.041,0.039,0.041,0.0285,0.026,0.0285,0.026,,,
1,D,4,0.075,0.062,0.066,0.053,0.038,0.042,0.039,0.042,0.0285,0.019,0.0285,0.019,,,
1,D,5,0.038,0.062,0.039,0.058,0.038,0.042,0.041,0.043,0.01,0.0065,0.01,0.0075,,,
1,D,6,0.039,0.041,0.039,0.04,0.038,0.042,0.039,0.041,3.46944695195361E-018,-0.0005,0.0005,0,,,
2,A,1,0.05,0.055,0.048,0.05,0.041,0.038,0.043,0.038,0.013,0.0085,0.013,0.0085,,,
2,A,2,0.043,0.044,0.042,0.042,0.041,0.039,0.041,0.039,0.0035,0.002,0.0035,0.002,,,
2,A,3,0.055,0.055,0.049,0.05,0.041,0.038,0.041,0.038,0.0155,0.01,0.0155,0.01,,,
2,A,4,0.046,0.046,0.043,0.046,0.04,0.038,0.041,0.039,0.007,0.0045,0.007,0.0045,,,
2,A,5,0.041,0.041,0.041,0.042,0.04,0.038,0.04,0.038,0.002,0.0025,0.002,0.0025,,,
2,A,6,0.046,0.043,0.045,0.042,0.04,0.043,0.039,0.044,0.003,0.002,0.003,0.003,,,
2,B,1,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.001,0.001,0.001,0.001,,,
2,B,2,0.052,0.044,0.051,0.042,0.038,0.038,0.038,0.038,0.01,0.0085,0.01,0.0085,,,
2,B,3,0.051,0.052,0.047,0.048,0.039,0.039,0.038,0.04,0.0125,0.0085,0.0125,0.0085,,,
2,B,4,0.05,0.05,0.048,0.046,0.038,0.039,0.038,0.038,0.0115,0.009,0.0115,0.009,,,
2,B,5,0.06,0.048,0.049,0.044,0.038,0.039,0.037,0.038,0.0155,0.009,0.0155,0.009,,,
2,B,6,0.048,0.046,0.046,0.043,0.043,0.043,0.044,0.044,0.004,0.0005,0.004,0.001,,,
2,C,1,0.046,0.052,0.043,0.046,0.038,0.039,0.038,0.038,0.0105,0.0065,0.0105,0.0065,,,
2,C,2,0.039,0.039,0.04,0.039,0.039,0.039,0.04,0.039,0,0,0,0,,,
2,C,3,0.043,0.059,0.044,0.055,0.038,0.038,0.041,0.038,0.013,0.01,0.013,0.01,,,
2,C,4,0.043,0.044,0.043,0.041,0.038,0.038,0.039,0.038,0.0055,0.0035,0.0055,0.0035,,,
2,C,5,0.045,0.047,0.046,0.049,0.038,0.039,0.038,0.04,0.0075,0.0085,0.0075,0.0085,,,
2,C,6,0.043,0.042,0.042,0.041,0.047,0.047,0.048,0.049,-0.0045,-0.007,0,0,,,
2,D,1,0.048,0.047,0.045,0.046,0.038,0.042,0.038,0.042,0.0075,0.0055,0.0075,0.0055,,,
2,D,2,0.051,0.049,0.051,0.046,0.039,0.042,0.04,0.042,0.0095,0.0075,0.0095,0.0075,,,
2,D,3,0.04,0.041,0.041,0.04,0.038,0.042,0.04,0.041,0.0005,0,0.001,0.0005,,,
2,D,4,0.057,0.048,0.055,0.045,0.039,0.042,0.038,0.041,0.012,0.0105,0.012,0.0105,,,
2,D,5,0.151,0.068,0.163,0.06,0.038,0.039,0.037,0.039,0.071,0.0735,0.071,0.0735,,,
2,D,6,0.049,0.05,0.046,0.046,0.05,0.041,0.053,0.04,0.004,-0.0005,0.0045,0.003,,,
3,A,1,0.04,0.039,0.039,0.038,0.039,0.038,0.038,0.037,0.001,0.001,0.001,0.001,,,
3,A,2,0.052,0.049,0.048,0.045,0.041,0.038,0.042,0.038,0.011,0.0065,0.011,0.0065,,,
3,A,3,0.043,0.042,0.044,0.043,0.04,0.038,0.041,0.04,0.0035,0.003,0.0035,0.003,,,
3,A,4,0.046,0.042,0.043,0.042,0.04,0.038,0.041,0.04,0.005,0.002,0.005,0.002,,,
3,A,5,0.041,0.04,0.04,0.04,0.04,0.038,0.041,0.039,0.0015,-3.46944695195361E-018,0.0015,0.0005,,,
3,A,6,0.04,0.04,0.038,0.04,0.04,0.038,0.04,0.038,0.001,0,0.001,0.001,,,
3,B,1,0.039,0.038,0.039,0.038,0.037,0.037,0.037,0.037,0.0015,0.0015,0.0015,0.0015,,,
3,B,2,0.042,0.042,0.04,0.043,0.038,0.039,0.038,0.038,0.0035,0.0035,0.0035,0.0035,,,
3,B,3,0.04,0.042,0.039,0.04,0.038,0.039,0.038,0.039,0.0025,0.001,0.0025,0.001,,,
3,B,4,0.039,0.04,0.038,0.04,0.039,0.039,0.037,0.04,0.0005,0.0005,0.0005,0.0005,,,
3,B,5,0.064,0.052,0.061,0.051,0.039,0.038,0.038,0.039,0.0195,0.0175,0.0195,0.0175,,,
3,B,6,0.045,0.048,0.042,0.045,0.038,0.038,0.038,0.038,0.0085,0.0055,0.0085,0.0055,,,
3,C,1,0.045,0.045,0.05,0.045,0.039,0.039,0.039,0.038,0.006,0.009,0.006,0.009,,,
3,C,2,0.042,0.043,0.041,0.044,0.038,0.038,0.039,0.04,0.0045,0.003,0.0045,0.003,,,
3,C,3,0.041,0.049,0.039,0.049,0.038,0.039,0.038,0.038,0.0065,0.006,0.0065,0.006,,,
3,C,4,0.042,0.043,0.043,0.043,0.038,0.038,0.04,0.039,0.0045,0.0035,0.0045,0.0035,,,
3,C,5,0.046,0.107,0.046,0.102,0.038,0.039,0.04,0.038,0.038,0.035,0.038,0.035,,,
3,C,6,0.06,0.069,0.062,0.073,0.038,0.038,0.038,0.038,0.0265,0.0295,0.0265,0.0295,,,
3,D,1,0.05,0.048,0.045,0.044,0.037,0.039,0.036,0.038,0.011,0.0075,0.011,0.0075,,,
3,D,2,0.063,0.085,0.064,0.089,0.048,0.041,0.046,0.041,0.0295,0.033,0.0295,0.033,,,
3,D,3,0.04,0.047,0.04,0.047,0.038,0.041,0.039,0.041,0.004,0.0035,0.004,0.0035,,,
3,D,4,0.048,0.048,0.047,0.05,0.038,0.042,0.039,0.042,0.008,0.008,0.008,0.008,,,
