roi,image,plate,area,meangray,perim,circ,perc.area,AR,round,solidity,red,green,blue
1,DSC_1128_Plate1end.JPG,1,4457,42.298,282.291,0.703,0,1.616,0.619,0.924,58.962,64.193,3.729
2,DSC_1128_Plate1end.JPG,1,2671,37.584,211.095,0.753,0,1.235,0.81,0.94,52.378,57.384,2.988
3,DSC_1128_Plate1end.JPG,1,2597,38.442,208.894,0.748,0,1.829,0.547,0.939,53.715,58.528,3.082
4,DSC_1128_Plate1end.JPG,1,490,42.835,87.983,0.795,0,1.658,0.603,0.913,60.161,57.508,10.884
5,DSC_1128_Plate1end.JPG,1,2153,57.607,204.309,0.648,0,1.52,0.658,0.91,76.039,75.281,21.54
6,DSC_1128_Plate1end.JPG,1,2477,40.626,190.167,0.861,0,1.206,0.83,0.959,56.012,62.225,3.631
7,DSC_1128_Plate1end.JPG,1,519,46.886,101.397,0.634,0,1.271,0.787,0.822,62.811,61.06,16.726
8,DSC_1128_Plate1end.JPG,1,776,34,108.468,0.829,0,1.217,0.822,0.922,48.358,43.854,9.716
9,DSC_1128_Plate1end.JPG,1,1170,73.674,185.137,0.429,0,1.756,0.569,0.773,96.24,90.326,34.568
10,DSC_1128_Plate1end.JPG,1,2589,36.922,206.066,0.766,0,1.588,0.63,0.937,49.778,57.442,3.546
11,DSC_1128_Plate1end.JPG,1,1897,48.676,205.137,0.566,0,2.233,0.448,0.847,68.541,71.321,6.192
12,DSC_1128_Plate1end.JPG,1,427,37.26,84.083,0.759,0,1.902,0.526,0.916,51.55,52.508,7.721
13,DSC_1128_Plate1end.JPG,1,532,65.836,109.882,0.554,0,1.694,0.59,0.825,88.419,82.6,26.556
14,DSC_1128_Plate1end.JPG,1,1764,41.236,189.48,0.617,0,2.001,0.5,0.872,56.239,62.019,5.429
15,DSC_1128_Plate1end.JPG,1,1118,52.755,160.853,0.543,0,2.289,0.437,0.84,73.848,71.906,12.556
16,DSC_1128_Plate1end.JPG,1,3568,50.314,339.505,0.389,0,1.447,0.691,0.777,68.136,67.795,15.007
17,DSC_1128_Plate1end.JPG,1,2593,36.967,209.137,0.745,0,1.658,0.603,0.93,49.999,57.435,3.476
