plate,row,column,roi,,,,,
1,A,1,3,5,9,,,
1,A,2,,,,,,
1,A,3,4,,,,,
1,A,4,1,2,6,,,
1,A,5,7,,,,,
1,A,6,8,,,,,
1,B,1,10,20,,,,
1,B,2,12,,,,,
1,B,3,11,18,21,,,
1,B,4,14,17,,,,
1,B,5,13,16,,,,
1,B,6,15,19,22,,,
1,C,1,23,24,,,,
1,C,2,28,30,,,,
1,C,3,27,31,33,,,
1,C,4,25,26,25,,,
1,C,5,29,34,,,,
1,C,6,32,,,,,
1,D,1,38,42,,,,
1,D,2,36,44,47,,,
1,D,3,40,,,,,
1,D,4,41,,,,,
1,D,5,39,43,45,48,49,
1,D,6,46,,,,,
2,A,1,4,6,,,,
2,A,2,1,2,,,,
2,A,3,3,,,,,
2,A,4,5,,,,,
2,A,5,8,,,,,
2,A,6,7,9,,,,
2,B,1,13,,,,,
2,B,2,11,12,,,,
2,B,3,14,,,,,
2,B,4,15,,,,,
2,B,5,16,18,,,,
2,B,6,17,19,20,,,
2,C,1,25,29,31,,,
2,C,2,27,,,,,
2,C,3,30,34,,,,
2,C,4,23,24,26,32,,
2,C,5,21,22,28,33,,
2,C,6,35,,,,,
2,D,1,38,,,,,
2,D,2,,,,,,
2,D,3,36,,,,,
2,D,4,37,39,44,46,,
2,D,5,40,42,43,45,,
2,D,6,41,,,,,
3,A,1,4,,,,,
3,A,2,5,,,,,
3,A,3,2,3,7,9,,
3,A,4,1,8,11,,,
3,A,5,6,,,,,
3,A,6,10,12,13,,,
3,B,1,14,16,,,,
3,B,2,21,23,,,,
3,B,3,17,,,,,
3,B,4,15,,,,,
3,B,5,19,20,22,24,26,27
3,B,6,18,25,,,,
3,C,1,30,31,32,35,,
3,C,2,28,29,33,34,39,40
3,C,3,36,,,,,
3,C,4,41,42,,,,
3,C,5,37,,,,,
3,C,6,38,,,,,
3,D,1,45,,,,,
3,D,2,44,,,,,
3,D,3,48,50,,,,
3,D,4,43,47,,,,
3,D,5,49,,,,,
3,D,6,46,51,,,,
4,A,1,1,,,,,
4,A,2,4,,,,,
4,A,3,2,5,,,,
4,A,4,3,6,8,9,10,11
4,A,5,,,,,,
4,A,6,7,,,,,
4,B,1,12,,,,,
