plate,row,column,roi,,,
1,A,1,2,5,6,
1,A,2,,,,
1,A,3,7,,,
1,A,4,1,,,
1,A,5,3,,,
1,A,6,4,,,
1,B,1,16,,,
1,B,2,,,,
1,B,3,10,13,,
1,B,4,14,,,
1,B,5,9,12,,
1,B,6,11,15,,
1,C,1,23,,,
1,C,2,19,,,
1,C,3,21,24,,
1,C,4,20,22,,
1,C,5,18,,,
1,C,6,17,,,
1,D,1,31,,,
1,D,2,25,34,,
1,D,3,30,,,
1,D,4,27,,,
1,D,5,26,33,,
1,D,6,28,29,,
2,A,1,7,,,
2,A,2,2,3,,
2,A,3,8,,,
2,A,4,6,,,
2,A,5,4,,,
2,A,6,1,5,,
2,B,1,13,,,
2,B,2,11,,,
2,B,3,12,,,
2,B,4,10,,,
2,B,5,,,,
2,B,6,9,,,
2,C,1,17,21,,
2,C,2,20,,,
2,C,3,16,,,
2,C,4,19,,,
2,C,5,15,18,,
2,C,6,14,,,
2,D,1,30,31,,
2,D,2,,,,
2,D,3,28,,,
2,D,4,23,26,,
2,D,5,22,24,25,27
2,D,6,29,,,
3,A,1,7,,,
3,A,2,6,,,
3,A,3,1,,,
3,A,4,3,5,,
3,A,5,4,,,
3,A,6,2,,,
3,B,1,14,,,
3,B,2,11,,,
3,B,3,13,,,
3,B,4,12,,,
3,B,5,9,,,
3,B,6,10,,,
3,C,1,15,23,,
3,C,2,19,17,,
3,C,3,24,,,
3,C,4,21,,,
3,C,5,22,,,
3,C,6,18,20,,
3,D,1,29,,,
3,D,2,32,33,,
3,D,3,31,,,
3,D,4,27,30,,
3,D,5,34,,,
3,D,6,28,,,
4,A,1,3,4,,
4,A,2,8,,,
4,A,3,1,,,
4,A,4,2,6,7,9
4,A,5,,,,
4,A,6,5,,,
4,B,1,,,,
4,B,2,13,,,
4,B,3,10,11,,
4,B,4,12,,,
4,B,5,,,,
4,B,6,14,,,
4,C,1,18,,,
4,C,2,,,,
4,C,3,17,19,,
4,C,4,15,,,
4,C,5,16,,,
4,C,6,20,,,
4,D,1,23,,,
4,D,2,21,,,
4,D,3,22,,,
4,D,4,,,,
4,D,5,,,,
4,D,6,,,,
5,A,1,6,,,
5,A,2,2,,,
5,A,3,3,,,
5,A,4,5,,,
5,A,5,4,,,
5,A,6,1,,,
5,B,1,13,,,
5,B,2,9,12,,
5,B,3,8,,,
5,B,4,7,11,14,
5,B,5,10,,,
5,B,6,,,,
5,C,1,,,,
5,C,2,18,19,20,
5,C,3,17,,,
5,C,4,,,,
5,C,5,15,16,,
5,C,6,,,,
5,D,1,22,23,,
5,D,2,,,,
5,D,3,25,27,,
5,D,4,,,,
5,D,5,24,,,
5,D,6,21,26,,
6,A,1,,,,
6,A,2,8,,,
6,A,3,3,6,,
6,A,4,,,,
6,A,5,5,7,,
6,A,6,1,2,4,
6,B,1,,,,
6,B,2,12,13,,
6,B,3,9,,,
6,B,4,10,,,
6,B,5,,,,
6,B,6,11,,,
6,C,1,20,,,
6,C,2,15,18,,
6,C,3,17,,,
6,C,4,16,,,
6,C,5,19,,,
6,C,6,14,,,
6,D,1,,,,
6,D,2,21,,,
6,D,3,,,,
6,D,4,,,,
6,D,5,22,,,
6,D,6,,,,
7,A,1,4,,,
7,A,2,,,,
7,A,3,3,5,,
7,A,4,,,,
7,A,5,2,,,
7,A,6,1,,,
7,B,1,7,,,
7,B,2,9,,,
7,B,3,8,11,,
7,B,4,,,,
7,B,5,10,,,
7,B,6,6,,,
7,C,1,12,16,,
7,C,2,13,,,
7,C,3,14,,,
7,C,4,,,,
7,C,5,15,,,
7,C,6,,,,
7,D,1,,,,
7,D,2,19,,,
7,D,3,,,,
7,D,4,,,,
7,D,5,17,20,,
7,D,6,18,,,
8,A,1,3,9,,
8,A,2,6,8,,
8,A,3,5,,,
8,A,4,7,,,
8,A,5,4,,,
8,A,6,2,,,
8,B,1,10,,,
8,B,2,13,15,16,
8,B,3,11,,,
8,B,4,,,,
8,B,5,14,,,
8,B,6,12,,,
8,C,1,19,,,
8,C,2,21,,,
8,C,3,22,,,
8,C,4,17,,,
8,C,5,20,,,
8,C,6,18,,,
8,D,1,,,,
8,D,2,24,,,
8,D,3,26,,,
8,D,4,25,,,
8,D,5,27,,,
8,D,6,23,,,
9,A,1,4,,,
9,A,2,5,,,
9,A,3,,,,
9,A,4,3,,,
9,A,5,1,,,
9,A,6,2,,,
9,B,1,9,,,
9,B,2,,,,
9,B,3,,,,
9,B,4,8,,,
9,B,5,7,,,
9,B,6,,,,
9,C,1,10,12,,
9,C,2,13,,,
9,C,3,14,,,
9,C,4,,,,
9,C,5,11,,,
9,C,6,,,,
9,D,1,17,,,
9,D,2,,,,
9,D,3,,,,
9,D,4,,,,
9,D,5,15,18,,
9,D,6,16,,,
10,A,1,,,,
10,A,2,4,,,
10,A,3,6,,,
10,A,4,1,2,,
10,A,5,5,,,
10,A,6,3,,,
10,B,1,10,,,
10,B,2,11,,,
10,B,3,7,,,
10,B,4,9,,,
10,B,5,,,,
10,B,6,8,,,
10,C,1,13,,,
10,C,2,17,,,
10,C,3,16,,,
10,C,4,,,,
10,C,5,14,,,
10,C,6,12,15,,
10,D,1,,,,
10,D,2,,,,
10,D,3,19,,,
10,D,4,,,,
10,D,5,18,,,
10,D,6,,,,
11,A,1,4,,,
11,A,2,,,,
11,A,3,3,,,
11,A,4,,,,
11,A,5,1,,,
11,A,6,2,,,
11,B,1,9,,,
11,B,2,6,11,,
11,B,3,5,10,,
11,B,4,8,,,
11,B,5,7,,,
11,B,6,12,,,
11,C,1,14,16,17,
11,C,2,18,,,
11,C,3,,,,
11,C,4,13,,,
11,C,5,15,,,
11,C,6,,,,
11,D,1,21,26,,
11,D,2,24,,,
11,D,3,23,,,
11,D,4,22,,,
11,D,5,25,,,
11,D,6,20,,,
12,A,1,6,8,,
12,A,2,5,,,
12,A,3,7,,,
12,A,4,,,,
12,A,5,2,,,
12,A,6,3,4,,
12,B,1,,,,
12,B,2,12,,,
12,B,3,14,,,
12,B,4,11,,,
12,B,5,9,10,,
12,B,6,13,15,,
12,C,1,21,,,
12,C,2,20,,,
12,C,3,17,,,
12,C,4,,,,
12,C,5,16,19,,
12,C,6,18,22,,
12,D,1,24,28,,
12,D,2,25,29,,
12,D,3,27,,,
12,D,4,,,,
12,D,5,,,,
12,D,6,26,,,
13,A,1,,,,
13,A,2,3,,,
13,A,3,4,5,,
13,A,4,,,,
13,A,5,,,,
13,A,6,,,,
13,B,1,14,,,
13,B,2,15,,,
13,B,3,10,,,
13,B,4,11,,,
13,B,5,13,,,
13,B,6,12,,,
13,C,1,19,20,,
13,C,2,18,,,
13,C,3,23,,,
13,C,4,21,22,,
13,C,5,16,17,,
13,C,6,,,,
13,D,1,31,,,
13,D,2,,,,
13,D,3,25,26,,
13,D,4,28,29,,
13,D,5,27,30,38,
13,D,6,,,,
14,A,1,7,,,
14,A,2,,,,
14,A,3,4,,,
14,A,4,3,,,
14,A,5,6,,,
14,A,6,,,,
14,B,1,,,,
14,B,2,9,,,
14,B,3,10,,,
14,B,4,,,,
14,B,5,8,,,
14,B,6,,,,
14,C,1,,,,
14,C,2,11,,,
14,C,3,13,,,
14,C,4,12,,,
14,C,5,,,,
14,C,6,14,,,
14,D,1,,,,
14,D,2,17,,,
14,D,3,18,,,
14,D,4,,,,
14,D,5,16,,,
14,D,6,15,,,
15,A,1,7,,,
15,A,2,3,,,
15,A,3,6,,,
15,A,4,4,8,,
15,A,5,,,,
15,A,6,,,,
15,B,1,15,,,
15,B,2,13,,,
15,B,3,10,,,
15,B,4,14,,,
15,B,5,12,,,
15,B,6,9,11,,
15,C,1,16,,,
15,C,2,17,,,
15,C,3,,,,
15,C,4,19,,,
15,C,5,,,,
15,C,6,18,,,
15,D,1,25,,,
15,D,2,28,29,,
15,D,3,24,,,
15,D,4,,,,
15,D,5,23,,,
15,D,6,26,27,,
16,A,1,5,,,
16,A,2,7,,,
16,A,3,4,,,
16,A,4,1,,,
16,A,5,3,,,
16,A,6,2,6,,
16,B,1,,,,
16,B,2,10,,,
16,B,3,11,,,
16,B,4,9,,,
16,B,5,,,,
16,B,6,8,,,
16,C,1,12,,,
16,C,2,14,,,
16,C,3,15,16,,
16,C,4,13,,,
16,C,5,,,,
16,C,6,,,,
16,D,1,21,,,
16,D,2,,,,
16,D,3,17,,,
16,D,4,,,,
16,D,5,18,,,
16,D,6,19,20,22,23
17,A,1,,,,
17,A,2,2,,,
17,A,3,3,,,
17,A,4,,,,
17,A,5,,,,
17,A,6,1,,,
17,B,1,9,,,
17,B,2,7,10,,
17,B,3,5,,,
17,B,4,8,,,
17,B,5,4,6,11,
17,B,6,,,,
17,C,1,14,,,
17,C,2,13,15,,
17,C,3,,,,
17,C,4,,,,
17,C,5,12,,,
17,C,6,16,,,
17,D,1,,,,
17,D,2,,,,
17,D,3,20,21,,
17,D,4,,,,
17,D,5,18,22,,
17,D,6,19,,,
18,A,1,5,,,
18,A,2,,,,
18,A,3,6,,,
18,A,4,4,,,
18,A,5,2,,,
18,A,6,3,,,
18,B,1,14,,,
18,B,2,13,,,
18,B,3,11,15,,
18,B,4,,,,
18,B,5,10,12,,
18,B,6,8,9,,
18,C,1,17,19,,
18,C,2,,,,
18,C,3,18,,,
18,C,4,,,,
18,C,5,20,,,
18,C,6,,,,
18,D,1,27,29,,
18,D,2,,,,
18,D,3,24,26,,
18,D,4,22,28,,
18,D,5,23,,,
18,D,6,25,,,
19,A,1,8,,,
19,A,2,9,,,
19,A,3,5,,,
19,A,4,6,,,
19,A,5,4,10,,
19,A,6,7,11,,
19,B,1,12,,,
19,B,2,,,,
19,B,3,13,16,,
19,B,4,,,,
19,B,5,15,,,
19,B,6,14,,,
19,C,1,23,,,
19,C,2,26,,,
19,C,3,20,24,,
19,C,4,19,25,,
19,C,5,22,27,,
19,C,6,18,,,
19,D,1,30,,,
19,D,2,29,,,
19,D,3,,,,
19,D,4,31,,,
19,D,5,,,,
19,D,6,32,,,
20,A,1,7,,,
20,A,2,6,,,
20,A,3,2,5,,
20,A,4,4,,,
20,A,5,3,,,
20,A,6,,,,
20,B,1,12,13,,
20,B,2,11,,,
20,B,3,,,,
20,B,4,9,10,,
20,B,5,,,,
20,B,6,8,,,
20,C,1,17,,,
20,C,2,16,,,
20,C,3,15,,,
20,C,4,,,,
20,C,5,,,,
20,C,6,14,,,
20,D,1,,,,
20,D,2,,,,
20,D,3,18,,,
20,D,4,23,,,
20,D,5,20,,,
20,D,6,22,,,
21,A,1,4,,,
21,A,2,5,,,
21,A,3,,,,
21,A,4,6,,,
