roi,image,plate,area,meangray,perim,circ,areafraction,AR,round,solidity,red,green,blue
1,DSC_1077_plate1.JPG,1,4710,58.324,321.019,0.574,0,1.743,0.574,0.905,253.383,0.627,0.508
2,DSC_1077_plate1.JPG,1,3328,57.624,274.877,0.553,0,1.417,0.706,0.889,254.689,0.162,0.109
3,DSC_1077_plate1.JPG,1,1025,47.413,151.924,0.558,0,1.333,0.75,0.804,255,0,0
4,DSC_1077_plate1.JPG,1,625,50.333,111.296,0.634,0,1.636,0.611,0.866,255,0,0
5,DSC_1077_plate1.JPG,1,2707,57.669,213.078,0.749,0,1.521,0.657,0.928,255,0,0
6,DSC_1077_plate1.JPG,1,1959,65.634,222.451,0.497,0,1.606,0.623,0.869,254.832,0.092,0.072
7,DSC_1077_plate1.JPG,1,2593,49.036,239.765,0.567,0,1.908,0.524,0.893,254.873,0.07,0.034
8,DSC_1077_plate1.JPG,1,447,63.586,110.024,0.464,0,1.079,0.927,0.741,254.633,0.195,0.13
9,DSC_1077_plate1.JPG,1,3043,45.843,317.446,0.379,0,1.871,0.535,0.841,252.882,1.224,0.441
10,DSC_1077_plate1.JPG,1,3091,56.47,305.061,0.417,0,2.299,0.435,0.764,252.129,1.691,0.74
11,DSC_1077_plate1.JPG,1,1894,60.008,200.593,0.592,0,1.592,0.628,0.909,255,0,0
12,DSC_1077_plate1.JPG,1,1886,67.592,285.321,0.291,0,2.162,0.463,0.682,254.806,0.088,0.071
13,DSC_1077_plate1.JPG,1,121,73.645,61.497,0.402,0,1.836,0.545,0.634,255,0,0
14,DSC_1077_plate1.JPG,1,1843,52.798,203.622,0.559,0,1.479,0.676,0.899,254.198,0.438,0.193
15,DSC_1077_plate1.JPG,1,719,65.918,148.652,0.409,0,1.273,0.786,0.824,253.865,0.626,0.281
16,DSC_1077_plate1.JPG,1,102,72.235,85.497,0.175,0,8.058,0.124,0.495,255,0,0
17,DSC_1077_plate1.JPG,1,2145,58.048,216.936,0.573,0,2.013,0.497,0.897,254.608,0.21,0.137
18,DSC_1077_plate1.JPG,1,2364,55.021,248.434,0.481,0,1.552,0.644,0.845,254.063,0.529,0.324
19,DSC_1077_plate1.JPG,1,2894,59.882,329.446,0.335,0,1.45,0.69,0.792,253.445,0.854,0.465
20,DSC_1077_plate1.JPG,1,4843,45.795,348.818,0.5,0,2.201,0.454,0.878,254.213,0.374,0.306
21,DSC_1077_plate1.JPG,1,357,70.574,87.74,0.583,0,2.416,0.414,0.818,255,0,0
22,DSC_1077_plate1.JPG,1,2282,57.092,220.35,0.591,0,1.518,0.659,0.897,254.777,0.12,0.067
23,DSC_1077_plate1.JPG,1,2830,47.845,267.463,0.497,0,1.42,0.704,0.898,254.94,0.032,0.012
24,DSC_1077_plate1.JPG,1,1905,63.595,242.392,0.407,0,2.372,0.422,0.786,254.482,0.18,0.147
25,DSC_1077_plate1.JPG,1,2951,44.273,319.362,0.364,0,1.924,0.52,0.724,254.888,0.059,0.006
26,DSC_1077_plate1.JPG,1,3253,43.615,340.274,0.353,0,2.237,0.447,0.754,255,0,0
27,DSC_1077_plate1.JPG,1,3558,54.649,288.049,0.539,0,2.217,0.451,0.859,254.954,0.024,0.015
28,DSC_1077_plate1.JPG,1,1552,51.749,167.581,0.694,0,1.654,0.605,0.906,254.786,0.117,0.066
29,DSC_1077_plate1.JPG,1,1046,67.355,220.25,0.271,0,2.031,0.492,0.683,254.841,0.087,0.042
30,DSC_1077_plate1.JPG,1,682,63.311,112.711,0.675,0,1.378,0.726,0.897,251.161,2.085,1.587
31,DSC_1077_plate1.JPG,1,3632,47.463,307.563,0.482,0,1.455,0.687,0.806,254.82,0.096,0.068
32,DSC_1077_plate1.JPG,1,3359,51.044,267.12,0.592,0,1.887,0.53,0.898,254.901,0.054,0.029
33,DSC_1077_plate1.JPG,1,164,67.543,73.154,0.385,0,2.675,0.374,0.715,255,0,0
34,DSC_1077_plate1.JPG,1,268,70.097,71.255,0.663,0,1.078,0.928,0.836,255,0,0
35,DSC_1077_plate1.JPG,1,217,76.041,229.64,0.052,0,16.955,0.059,0.339,255,0,0
1,DSC_1078_plate2.JPG,2,913,55.192,206.208,0.27,0,2.635,0.379,0.562,255,0,0
2,DSC_1078_plate2.JPG,2,3983,55.512,454.884,0.242,0,2.371,0.422,0.764,249.16,3.44,1.831
3,DSC_1078_plate2.JPG,2,719,62.291,107.154,0.787,0,1.576,0.634,0.929,255,0,0
4,DSC_1078_plate2.JPG,2,3172,59.881,253.321,0.621,0,1.224,0.817,0.885,255,0,0
5,DSC_1078_plate2.JPG,2,2941,63.994,283.605,0.459,0,1.282,0.78,0.822,252.757,1.255,0.871
6,DSC_1078_plate2.JPG,2,1130,56.459,189.38,0.396,0,1.786,0.56,0.798,253.554,0.794,0.235
7,DSC_1078_plate2.JPG,2,3417,55.047,354.96,0.341,0,2.412,0.415,0.777,254.952,0.027,0.009
8,DSC_1078_plate2.JPG,2,776,52.388,130.853,0.57,0,1.19,0.84,0.877,255,0,0
9,DSC_1078_plate2.JPG,2,237,59.717,63.841,0.731,0,1.591,0.628,0.891,255,0,0
10,DSC_1078_plate2.JPG,2,154,72.714,62.77,0.491,0,2.159,0.463,0.74,253.799,0.545,0.565
11,DSC_1078_plate2.JPG,2,2916,57.737,384.115,0.248,0,2.122,0.471,0.784,249.489,3.046,1.075
12,DSC_1078_plate2.JPG,2,3040,57.889,311.647,0.393,0,1.948,0.513,0.83,251.1,2.186,0.79
13,DSC_1078_plate2.JPG,2,3680,53.372,381.973,0.317,0,1.787,0.559,0.845,248.526,3.62,1.23
14,DSC_1078_plate2.JPG,2,259,65.653,95.054,0.36,0,2.544,0.393,0.807,241.876,7.185,3.178
