SampleName,bzt,nacl,plnt.micr,inoc,plate,row,column,prep notes,ORBsample
BZ1.1.A3,0.1,10,BruceH,n,1,A,3,,1
BZ1.1.A5,10,10,KSR,n,1,A,5,,1
BZ1.1.A6,10,10,KSR,y,1,A,6,,1
BZ1.1.B5,10,0,KSR,n,1,B,5,,1
BZ1.1.C4,10,0,BruceH,y,1,C,4,,1
BZ1.1.D3,0.1,0,MoccTr,n,1,D,3,,1
BZ1.1.D5,10,0,KSR,y,1,D,5,,1
BZ1.2.A3,10,10,MoccTr,y,2,A,3,,1
BZ1.2.B3,10,10,BruceH,n,2,B,3,,1
BZ1.2.B5,0.1,10,MoccTr,y,2,B,5,,1
BZ1.2.D2,10,0,KSR,y,2,D,2,,1
BZ1.3.C1,0.1,0,MoccTr,y,3,C,1,,1
BZ1.3.D5,10,10,KSR,n,3,D,5,,1
BZ1.4.B2,0.1,10,BruceH,n,4,B,2,,1
BZ1.4.D1,0.1,0,KSR,y,4,D,1,,1
BZ1.5.C1,10,10,KSR,y,5,C,1,,1
BZ1.5.C2,0.1,0,BruceH,n,5,C,2,,1
BZ1.5.D2,0.1,10,MoccTr,n,5,D,2,,1
BZ1.5.D5,10,0,MoccTr,y,5,D,5,,1
BZ1.6.D4,10,10,BruceH,y,6,D,4,,1
BZ1.7.A3,0.1,0,KSR,n,7,A,3,,1
BZ1.8.A3,10,0,MoccTr,n,8,A,3,,1
BZ1.8.A4,10,0,BruceH,n,8,A,4,,1
BZ1.8.A5,10,10,BruceH,n,8,A,5,,1
BZ1.8.D3,0.1,0,BruceH,y,8,D,3,,1
BZ1.9.A2,0.1,0,MoccTr,y,9,A,2,,1
BZ1.9.B4,10,0,BruceH,n,9,B,4,,1
BZ1.10.B6,0.1,10,KSR,n,10,B,6,,1
BZ1.10.C2,0.1,0,MoccTr,n,10,C,2,,1
BZ1.10.C3,0.1,0,MoccTr,y,10,C,3,,1
BZ1.11.B2,10,0,MoccTr,y,11,B,2,,1
BZ1.11.D6,10,0,MoccTr,y,11,D,6,,1
BZ1.12.A6,0.1,10,BruceH,y,12,A,6,,1
BZ1.12.B4,0.1,0,BruceH,y,12,B,4,,1
BZ1.12.C1,0.1,0,BruceH,n,12,C,1,,1
BZ1.12.C4,0.1,0,KSR,y,12,C,4,,1
BZ1.13.D2,0.1,10,MoccTr,y,13,D,2,,1
BZ1.15.B3,0.1,10,MoccTr,n,15,B,3,,1
BZ1.15.D2,0.1,10,BruceH,y,15,D,2,,1
BZ1.15.D4,10,10,MoccTr,y,15,D,4,,1
BZ1.16.B5,0.1,10,KSR,y,16,B,5,,1
BZ1.16.D2,10,10,MoccTr,n,16,D,2,,1
BZ1.17.D5,10,0,BruceH,n,17,D,5,,1
BZ1.18.B1,10,10,MoccTr,n,18,B,1,,1
BZ1.18.B2,10,10,BruceH,n,18,B,2,,1
BZ1.18.D2,0.1,10,MoccTr,n,18,D,2,,1
BZ1.18.D4,10,0,BruceH,y,18,D,4,,1
BZ1.19.D5,10,10,BruceH,y,19,D,5,,1
BZ1.20.A3,10,0,MoccTr,n,20,A,3,,1
BZ1.20.A4,10,10,MoccTr,n,20,A,4,,1
BZ1.20.A5,10,10,MoccTr,y,20,A,5,,1
BZ1.20.B5,0.1,10,MoccTr,y,20,B,5,,1
BZ1.20.C2,10,0,KSR,y,20,C,2,,1
BZ1.20.D2,0.1,0,KSR,n,20,D,2,,1
BZ1.20.D6,10,10,BruceH,y,20,D,6,,1
BZ1.21.A2,10,10,KSR,y,21,A,2,,1
BZ1.21.B3,0.1,10,BruceH,y,21,B,3,,1
BZ1.21.B5,0.1,10,KSR,y,21,B,5,,1
BZ1.21.C1,0.1,0,KSR,n,21,C,1,,1
BZ1.21.D5,10,0,MoccTr,n,21,D,5,,1
BZ1.22.A5,0.1,0,KSR,y,22,A,5,,1
BZ1.22.B3,0.1,0,MoccTr,n,22,B,3,,1
BZ1.22.C5,0.1,10,BruceH,n,22,C,5,,1
BZ1.22.C6,10,0,KSR,n,22,C,6,,1
BZ1.23.C2,10,0,KSR,n,23,C,2,,1
BZ1.23.C6,0.1,10,KSR,y,23,C,6,,1
BZ1.24.A1,0.1,0,BruceH,y,24,A,1,,1
BZ1.24.B3,0.1,0,BruceH,n,24,B,3,,1
BZ1.24.B4,10,0,BruceH,y,24,B,4,,1
BZ1.24.C3,10,10,KSR,n,24,C,3,,1
BZ1.24.D2,0.1,10,KSR,n,24,D,2,,1
BZ1.24.D6,0.1,10,KSR,n,24,D,6,,1
