bzt,nacl,plnt.micr,inoc,plate,row,column,SetupErrorPossible
0.1,0.8,BruceH,n,1,A,1,
10,10,MoccTr,y,1,A,2,
0.1,10,BruceH,n,1,A,3,
0,0,MoccTr,y,1,A,4,
10,10,KSR,n,1,A,5,
10,10,KSR,y,1,A,6,
10,0.8,BruceH,y,1,B,1,
1,10,MoccTr,y,1,B,2,
0,0.8,BruceH,n,1,B,3,
10,0.8,BruceH,y,1,B,4,
10,0,KSR,n,1,B,5,
10,0.8,BruceH,n,1,B,6,
1,0,MoccTr,n,1,C,1,
10,0.8,KSR,n,1,C,2,
10,0.8,MoccTr,n,1,C,3,
10,0,BruceH,y,1,C,4,
1,0.8,BruceH,y,1,C,5,
0,10,BruceH,n,1,C,6,
0.1,0.8,KSR,n,1,D,1,
0.1,0.8,KSR,y,1,D,2,
0.1,0,MoccTr,n,1,D,3,
1,0,KSR,n,1,D,4,
10,0,KSR,y,1,D,5,
1,0,KSR,n,1,D,6,
10,0.8,KSR,y,2,A,1,
0.1,0,BruceH,n,2,A,2,
10,10,MoccTr,y,2,A,3,
0.1,10,BruceH,n,2,A,4,
0,0.8,BruceH,n,2,A,5,
1,0,BruceH,y,2,A,6,
1,10,MoccTr,n,2,B,1,
0.1,10,KSR,n,2,B,2,
10,10,BruceH,n,2,B,3,
0.1,10,KSR,y,2,B,4,
0.1,10,MoccTr,y,2,B,5,
1,0,BruceH,n,2,B,6,
10,0,BruceH,n,2,C,1,
1,10,KSR,n,2,C,2,
10,0.8,KSR,y,2,C,3,
10,0.8,MoccTr,y,2,C,4,
1,0.8,BruceH,n,2,C,5,
0,10,MoccTr,n,2,C,6,
1,10,BruceH,n,2,D,1,
10,0,KSR,y,2,D,2,
1,0.8,MoccTr,n,2,D,3,
0,0,MoccTr,y,2,D,4,
0.1,0,BruceH,n,2,D,5,
0,10,MoccTr,y,2,D,6,
0,10,KSR,n,3,A,1,
0.1,0.8,MoccTr,n,3,A,2,
1,0,MoccTr,y,3,A,3,
10,0,BruceH,y,3,A,4,
0,0,KSR,n,3,A,5,
1,0,MoccTr,n,3,A,6,
0,0.8,BruceH,n,3,B,1,
0,0,KSR,n,3,B,2,
0,0,KSR,n,3,B,3,
1,0.8,KSR,n,3,B,4,
10,0,KSR,n,3,B,5,
1,0.8,KSR,y,3,B,6,
0.1,0,MoccTr,y,3,C,1,
0.1,0,BruceH,y,3,C,2,
1,0.8,MoccTr,y,3,C,3,
0.1,0,MoccTr,n,3,C,4,
0.1,10,BruceH,n,3,C,5,
1,0.8,BruceH,y,3,C,6,
0,10,KSR,y,3,D,1,
0,0.8,MoccTr,y,3,D,2,
0.1,0.8,BruceH,y,3,D,3,
0,0,BruceH,y,3,D,4,
10,10,KSR,n,3,D,5,
1,0.8,MoccTr,y,3,D,6,
0,0.8,KSR,n,4,A,1,
0,0,BruceH,y,4,A,2,
10,0,KSR,y,4,A,3,
0,0.8,BruceH,y,4,A,4,
10,10,MoccTr,y,4,A,5,
0,10,BruceH,y,4,A,6,
0,0,KSR,y,4,B,1,
0.1,10,BruceH,n,4,B,2,
0.1,0.8,MoccTr,n,4,B,3,
10,10,BruceH,y,4,B,4,
10,0,MoccTr,y,4,B,5,
0,0.8,MoccTr,y,4,B,6,
0.1,0.8,KSR,n,4,C,1,
0.1,0.8,KSR,y,4,C,2,
1,10,BruceH,y,4,C,3,
0,0.8,BruceH,y,4,C,4,
0,0,MoccTr,n,4,C,5,
1,10,BruceH,n,4,C,6,
0.1,0,KSR,y,4,D,1,
0,10,KSR,y,4,D,2,
1,0,BruceH,y,4,D,3,
10,10,MoccTr,n,4,D,4,
0.1,0.8,MoccTr,n,4,D,5,
10,10,KSR,n,4,D,6,
1,0,KSR,y,5,A,1,
10,0.8,BruceH,n,5,A,2,
0,10,BruceH,y,5,A,3,y
0,0.8,MoccTr,n,5,A,4,
1,0.8,BruceH,y,5,A,5,
0,0.8,BruceH,y,5,A,6,
0.1,0,KSR,y,5,B,1,
0.1,0,BruceH,n,5,B,2,
0,10,KSR,n,5,B,3,
1,0.8,KSR,n,5,B,4,
0,10,MoccTr,y,5,B,5,
1,10,KSR,y,5,B,6,
10,10,KSR,y,5,C,1,
0.1,0,BruceH,n,5,C,2,
1,10,MoccTr,n,5,C,3,
1,0,KSR,n,5,C,4,
0,0,MoccTr,n,5,C,5,
10,10,BruceH,y,5,C,6,
0,0,BruceH,n,5,D,1,
0.1,10,MoccTr,n,5,D,2,
10,0,BruceH,n,5,D,3,
10,0.8,KSR,y,5,D,4,
10,0,MoccTr,y,5,D,5,
1,0,BruceH,n,5,D,6,
1,0.8,KSR,y,6,A,1,
0.1,10,MoccTr,y,6,A,2,
10,0.8,KSR,n,6,A,3,
0.1,10,MoccTr,n,6,A,4,
0,0.8,KSR,n,6,A,5,
1,0,MoccTr,n,6,A,6,
1,0.8,MoccTr,y,6,B,1,
0,0.8,MoccTr,n,6,B,2,
1,0,KSR,y,6,B,3,
0,10,BruceH,y,6,B,4,
0.1,10,BruceH,y,6,B,5,
0.1,0,MoccTr,y,6,B,6,
10,0.8,KSR,y,6,C,1,
0.1,0.8,KSR,y,6,C,2,
0,0,KSR,n,6,C,3,
0,10,MoccTr,n,6,C,4,
0.1,10,KSR,n,6,C,5,
0.1,0.8,BruceH,y,6,C,6,
1,10,KSR,y,6,D,1,
1,0.8,MoccTr,y,6,D,2,
10,10,BruceH,n,6,D,3,
10,10,BruceH,y,6,D,4,
1,0.8,BruceH,n,6,D,5,
1,10,KSR,n,6,D,6,
0,10,KSR,y,7,A,1,
1,0,KSR,y,7,A,2,
0.1,0,KSR,n,7,A,3,
1,10,KSR,n,7,A,4,
1,0,MoccTr,n,7,A,5,
1,0,KSR,y,7,A,6,
10,0.8,MoccTr,n,7,B,1,
1,0.8,BruceH,y,7,B,2,
0,0.8,BruceH,n,7,B,3,
1,0.8,KSR,y,7,B,4,
0,0.8,MoccTr,n,7,B,5,
1,0,BruceH,n,7,B,6,
10,0.8,MoccTr,y,7,C,1,
1,10,KSR,n,7,C,2,
1,0.8,KSR,n,7,C,3,
0,10,KSR,n,7,C,4,
0,0,BruceH,n,7,C,5,
0.1,10,KSR,y,7,C,6,
0,10,KSR,n,7,D,1,
1,0.8,KSR,n,7,D,2,
1,10,BruceH,y,7,D,3,
0,10,BruceH,y,7,D,4,
0.1,0,BruceH,y,7,D,5,
0.1,0,BruceH,y,7,D,6,
0.1,0,KSR,n,8,A,1,
0,0.8,MoccTr,n,8,A,2,
10,0,MoccTr,n,8,A,3,
10,0,BruceH,n,8,A,4,
10,10,BruceH,n,8,A,5,
