roi,image,plate,area,meangray,perim,circ,perc.area,AR,round,solidity,red,green,blue
1,DSC_0970_Plate1start.JPG,1,340,88.847,184.953,0.125,0,12.572,0.08,0.602,255,0,0
2,DSC_0970_Plate1start.JPG,1,2380,86.922,237.078,0.532,0,1.529,0.654,0.905,253.793,1.577,1.188
3,DSC_0970_Plate1start.JPG,1,3251,89.163,283.12,0.51,0,1.723,0.58,0.881,253.456,2.015,1.651
4,DSC_0970_Plate1start.JPG,1,2308,98.851,320.132,0.283,0,1.874,0.534,0.829,252.844,2.785,2.116
5,DSC_0970_Plate1start.JPG,1,2352,100.562,344.032,0.25,0,2.151,0.465,0.773,252.219,3.602,2.726
6,DSC_0970_Plate1start.JPG,1,1126,109.933,227.563,0.273,0,1.15,0.869,0.807,248.671,8.469,6.813
7,DSC_0970_Plate1start.JPG,1,1111,100.064,150.167,0.619,0,1.622,0.617,0.871,254.013,1.131,1.044
8,DSC_0970_Plate1start.JPG,1,264,110.231,149.539,0.148,0,4.099,0.244,0.491,246.189,6.197,5.902
9,DSC_0970_Plate1start.JPG,1,149,106.557,84.912,0.26,0,4.02,0.249,0.591,251.94,2.013,1.913
10,DSC_0970_Plate1start.JPG,1,1564,101.628,269.99,0.27,0,1.693,0.591,0.799,249.518,7.247,5.393
11,DSC_0970_Plate1start.JPG,1,1913,107.417,255.706,0.368,0,1.998,0.5,0.843,249.675,7.195,6.016
12,DSC_0970_Plate1start.JPG,1,1067,114.895,221.22,0.274,0,1.215,0.823,0.823,245.739,13.141,10.457
13,DSC_0970_Plate1start.JPG,1,1541,105.899,273.404,0.259,0,1.645,0.608,0.816,245.596,13.158,10.662
14,DSC_0970_Plate1start.JPG,1,2248,100.316,286.96,0.343,0,1.258,0.795,0.849,248.186,9.734,7.391
15,DSC_0970_Plate1start.JPG,1,1442,111.086,219.806,0.375,0,1.131,0.884,0.843,250.226,6.339,5.331
16,DSC_0970_Plate1start.JPG,1,1066,109.155,239.362,0.234,0,1.862,0.537,0.744,243.324,16.581,12.976
17,DSC_0970_Plate1start.JPG,1,608,116.906,143.581,0.371,0,1.476,0.677,0.809,249.985,6.844,5.806
18,DSC_0970_Plate1start.JPG,1,446,113.751,150.309,0.248,0,1.352,0.74,0.737,247.397,10.253,8.081
19,DSC_0970_Plate1start.JPG,1,2057,110.36,279.605,0.331,0,1.191,0.84,0.855,247.933,9.757,8.027
20,DSC_0970_Plate1start.JPG,1,650,103.822,134.752,0.45,0,1.402,0.713,0.841,249.511,7.497,5.569
21,DSC_0970_Plate1start.JPG,1,248,110.286,162.551,0.118,0,1.945,0.514,0.49,254.544,0.56,0.379
22,DSC_0970_Plate1start.JPG,1,203,119.906,135.095,0.14,0,1.172,0.853,0.573,251.704,4.192,3.118
23,DSC_0970_Plate1start.JPG,1,2583,104.909,355.831,0.256,0,2.139,0.468,0.801,252.443,3.283,2.601
24,DSC_0970_Plate1start.JPG,1,1019,107.561,176.208,0.412,0,1.839,0.544,0.811,247.608,10.529,8.03
25,DSC_0970_Plate1start.JPG,1,3017,99.581,395.529,0.242,0,1.832,0.546,0.8,249.507,7.71,5.972
26,DSC_0970_Plate1start.JPG,1,412,118.471,155.581,0.214,0,1.485,0.674,0.666,243.609,17.415,14.529
27,DSC_0970_Plate1start.JPG,1,701,111.827,192.35,0.238,0,1.477,0.677,0.799,245.802,12.8,10.544
28,DSC_0970_Plate1start.JPG,1,787,112.421,181.279,0.301,0,1.49,0.671,0.792,244.63,14.33,12.365
29,DSC_0970_Plate1start.JPG,1,829,110.759,158.066,0.417,0,1.459,0.686,0.821,252.058,3.881,3.47
30,DSC_0970_Plate1start.JPG,1,141,118.362,92.711,0.206,0,1.34,0.746,0.616,253.369,2.028,1.702
31,DSC_0970_Plate1start.JPG,1,623,112.868,179.622,0.243,0,1.635,0.612,0.749,247.602,9.984,7.618
32,DSC_0970_Plate1start.JPG,1,657,116.852,214.007,0.18,0,1.255,0.797,0.697,245.938,12.035,10.528
33,DSC_0970_Plate1start.JPG,1,392,118.571,151.723,0.214,0,1.936,0.516,0.694,242.786,17.258,14.985
34,DSC_0970_Plate1start.JPG,1,978,117.55,270.676,0.168,0,2.129,0.47,0.635,246.269,11.821,10.453
35,DSC_0970_Plate1start.JPG,1,532,114.942,194.35,0.177,0,1.442,0.694,0.69,247.731,9.893,8.547
36,DSC_0970_Plate1start.JPG,1,306,113.245,112.61,0.303,0,1.53,0.653,0.673,252.601,2.601,2.405
37,DSC_0970_Plate1start.JPG,1,1165,109.926,218.392,0.307,0,1.392,0.718,0.837,246.195,12.113,10.496
1,DSC_0973_Plate2start.JPG,2,2461,85.113,244.451,0.518,0,2.446,0.409,0.818,255,0,0
2,DSC_0973_Plate2start.JPG,2,3324,78.38,373.487,0.299,0,2.106,0.475,0.756,253.498,0.969,0.523
3,DSC_0973_Plate2start.JPG,2,1723,83.618,266.09,0.306,0,2.102,0.476,0.8,253.516,1.373,0.984
4,DSC_0973_Plate2start.JPG,2,2132,85.118,365.973,0.2,0,2.335,0.428,0.739,250.452,4.22,2.837
5,DSC_0973_Plate2start.JPG,2,1335,92.8,180.108,0.517,0,1.579,0.633,0.866,250.724,4.016,2.781
6,DSC_0973_Plate2start.JPG,2,2249,82.838,332.375,0.256,0,2.001,0.5,0.79,252.727,2.122,1.47
7,DSC_0973_Plate2start.JPG,2,1945,91.79,295.203,0.28,0,1.398,0.715,0.818,249.173,5.493,3.866
