"pixstart","pix20","pix23","pixend","alivestart","alive20","alive23","aliveend","deadstart","dead20","dead23","deadend","dpixse","dpixs20","dpix2023","dpixs23","dpix23e","dpixse.1","bzt","nacl","inoc","plnt.micr","plate","lbzt","lnacl","lOD600","lOD750","flOD600","Lcellfb6","cellfb6","red","green","blue","aggrE","daggrE","x","y"
3251,2891.3185840708,3674.99115044248,5920,1,1,1,1,0,0,0,0,2669,-359.681415929203,783.672566371681,423.991150442478,2245.00884955752,2669,0.1,0.8,"n","BruceH",1,-2.20727491318972,-0.127833371509885,-3.27016911925575,-3.55785119170753,-3.27016911925575,8.54002607624922,5029.98290639017,0.443848702493671,0.439903057727395,0.116248239778934,9.89404017782532,-1.58872331468669,21.1666666666667,-21.25
2380,0,0,0,1,0,0,0,0,1,1,1,-2380,-2380,0,-2380,0,-2380,10,10,"y","MoccTr",1,2.30358459332713,2.31055326264322,-4.23360662955561,-4.42284862919414,-4.23360662955561,6.51462946267469,589.448977312436,NA,NA,NA,NA,NA,42.3333333333333,-21.25
2308,861.646017699115,807.300884955752,490,1,1,1,1,0,0,0,0,-1818,-1446.35398230089,-54.3451327433628,-1500.69911504425,-317.300884955752,-1818,0.1,10,"n","BruceH",1,-2.20727491318972,2.31055326264322,-4.55638002181866,-4.60517018598809,-4.55638002181866,5.14589816357272,86.2308071608066,0.468160771954399,0.447142134547294,0.0846970934983075,5.56925769750975,-1.64026837298617,63.5,-21.25
1126,3619.07079646018,6330.81415929204,11606,1,1,1,1,0,0,0,0,10480,2493.07079646018,2711.74336283186,5204.81415929204,5275.18584070796,10480,0,0,"y","MoccTr",1,-4.60517018598809,-2.52572864430826,-3.86323284125871,-3.91202300542815,-3.86323284125871,7.37561352438606,1511.07621936698,0.461575077456438,0.50776038737697,0.0306645351665919,13.1761788854174,8.22809857359169,84.6666666666667,-21.25
2352,741.141592920354,492.256637168142,519,1,1,1,1,0,0,0,0,-1833,-1610.85840707965,-248.884955752212,-1859.74336283186,26.7433628318584,-1833,10,10,"n","KSR",1,2.30358459332713,2.31055326264322,-3.9633162998157,-4.26869794936688,-3.9633162998157,7.16360348340068,1206.06181447293,0.446551209316214,0.434536251048643,0.118912539635143,5.11849463001864,-1.71807871199606,105.833333333333,-21.25
1111,560.778761061947,0,776,1,1,0,1,0,0,1,0,-335,-550.221238938053,-560.778761061947,-1111,776,-335,10,10,"y","KSR",1,2.30358459332713,2.31055326264322,-3.83970234384852,-3.9633162998157,-3.83970234384852,7.42421315329576,1590.58538982598,0.474098039215686,0.43064705882353,0.0952549019607843,7.15418372238817,-0.244246025825486,127,-21.25
1913,815.176991150443,1485.43362831858,4295,1,1,1,1,0,0,0,0,2382,-1097.82300884956,670.256637168142,-427.566371681416,2809.56637168142,2382,10,0.8,"y","BruceH",1,2.30358459332713,-0.127833371509885,-4.13516655674236,-4.26869794936688,-4.13516655674236,6.76933672978833,785.239324389224,0.448360759608248,0.513283187602962,0.0383560527887905,11.2265275396261,3.745279543881,21.1666666666667,-42.5
1067,0,0,427,1,0,0,1,0,1,1,0,-640,-1067,0,-1067,427,-640,1,10,"y","MoccTr",1,0.00995033085316809,2.31055326264322,-4.26869794936688,-4.38202663467388,-4.26869794936688,6.41588614977923,525.987539791596,0.461173734120594,0.469753086419753,0.0690731794596529,5.07831547399593,0.255062603550223,42.3333333333333,-42.5
3812,3376.48672566372,3493.8407079646,3562,1,1,1,1,0,0,0,0,-250,-435.513274336283,117.353982300885,-318.159292035398,68.1592920353983,-250,0,0.8,"n","BruceH",1,-4.60517018598809,-0.127833371509885,-4.50986000618377,-4.55638002181866,-4.50986000618377,5.47331402197794,152.75360049071,0.467244790796231,0.481984686519309,0.0507705226844602,8.40231075340091,1.55789024886729,63.5,-42.5
1066,615.911504424779,2434.50442477876,4357,1,1,1,1,0,0,0,0,3291,-450.088495575221,1818.59292035398,1368.50442477876,1922.49557522124,3291,10,0.8,"y","BruceH",1,2.30358459332713,-0.127833371509885,-4.07454193492592,-3.9633162998157,-4.07454193492592,6.91413624388924,920.906520643025,0.452830027833544,0.509213201539583,0.0379567706268728,10.9302914828018,6.47678591383094,84.6666666666667,-42.5
1987,2117.88495575221,2477.03539823009,4100,1,1,1,1,0,0,0,0,2113,130.884955752213,359.150442477876,490.035398230089,1622.96460176991,2113,10,0,"n","KSR",1,2.30358459332713,-2.52572864430826,-2.25856820757727,-2.25379492882461,-2.25856820757727,10.5461558769901,37945.466415013,0.449289711579854,0.431430621323002,0.119279667097144,9.12353939922606,4.43404438727221,105.833333333333,-42.5
2050,2905.49557522124,2505.38938053097,3580,1,1,1,1,0,0,0,0,1530,855.495575221239,-400.106194690266,455.389380530974,1074.61061946903,1530,10,0.8,"n","BruceH",1,2.30358459332713,-0.127833371509885,-3.86323284125871,-4.23360662955561,-3.86323284125871,7.37561352438606,1511.07621936698,0.459961857198328,0.450479788391116,0.0895583544105564,7.9396409862897,2.29827241779386,127,-42.5
2057,2288.00884955752,3814.3982300885,5646,1,1,1,1,0,0,0,0,3589,231.008849557522,1526.38938053097,1757.3982300885,1831.6017699115,3589,1,0,"n","MoccTr",1,0.00995033085316809,-2.52572864430826,-4.30506559353775,-4.42284862919414,-4.30506559353775,6.30767196863685,463.271070319821,0.458012704017169,0.462260068885543,0.0797272270972879,12.6973703444662,5.34056342041263,21.1666666666667,-63.75
