"","BrH.F.21","BrH.M.106","KSR.F.43","KSR.M.121","MocT.F.57","MocT.M.129"
"67284fdf21b208eead2164e7c58c2f2a",0,0,0.000541096261024836,0,0,0
"7e6e195d6220a041e4af398176ffc53c",0,0,0.000541096261024836,0,0,0
"26c89a3fe7f6027fa411d5a0181bb7e4",0,0,0,0,0.000716743119266055,0
"20e7a5540589c15a09e0520e02f51d29",0,0,0,0,3.58371559633028e-05,0
"89d1a31a3a1b00d17d7ef8f4bd28049c",0,0,0.000270548130512418,0,0,0
"a96fbe031483eebe0df16397c8f76e28",0,0,0.000378767382717385,0,0.000931766055045872,0
"1d509b9f020605cb72be246b8bbfec91",0,0,0.00108219252204967,0,0.00118262614678899,0
"f76725f89dafaad8e91f8274c982a227",0,0,0.000757534765434771,0,0.000609231651376147,0
"99b0e461d50701390198f450defcb9c6",0,0,0,0,0.00154099770642202,0
"ff6dae796b9fdf74898e4cd9eebd4c45",0,0,0.000162328878307451,0,0.000107511467889908,0
"c1c92142770cef3d1cafa34879efaf9a",0,0,0,0,0.000573394495412844,0
"71f6517c4f1af19400404ed4d8ea34f0",0,0,0.000378767382717385,0,0,0
"c880bc297f945a78437a96ec84a5351e",0,0,0.000324657756614902,0,0.00146932339449541,0
"e3b1650d4a48d66a85e3b5ab33b20c18",0,0,0,0,7.16743119266055e-05,0
"452664279f49b3a5947609afd204bde3",0,0,0.000108219252204967,0,0,0
"0d7b80c94f61d9db00fea8fb8fac94da",0,0,0.00102808289594719,0,0,0
"2e69b41f571161690a58009b13466a0a",0,0,0.000378767382717385,0,0,0
"fcae0a1f6264242221d311b0454937c1",0,0,0,0,0,0.00801725541266482
"9d1a49ad3b75d1a9be94612928729830",0,0,0.000216438504409935,0,0,0
"0de6916e0eed3ccad1dc2a311ba489d7",0,0,0.000108219252204967,0,0.000179185779816514,0
"b9d0ec91c66809d417d0719a63dd6bf6",0,0,0,0,0.000143348623853211,0
"6a5ed6b18fa570c6490e15457c008024",0,0,0,0,0.000179185779816514,0
"52ec97b3f172a4212493adf8787a20ec",0,0,0.000432877008819869,0,0.000286697247706422,0
"145e03f04abef0a25bf0632626f00316",0,0,0.000216438504409935,0,0,0
"5753041e5e2e73a51a8da6d4df6dca5e",0,0,5.41096261024836e-05,0,7.16743119266055e-05,0
"97c3f37b6f379f1633572726bb5d250c",0,0,0.00151506953086954,0,0,0
"d9d913c95482a7040ec23a283fd52c35",0,0,0,0,0.000430045871559633,0
"40fc36a8531d362793a6696e9b1d2795",0,0,0.00275959093122667,0,0.000250860091743119,0
"e27292022b941b6231cc71cc737599ed",0,0,0,0,0.000358371559633028,0
"0260c5c41479cbfac4edbc01ff113722",0,0,0,0,0.000286697247706422,0
"7f6d25bd252d1b6baa327ac0f92a1bf1",0,0,0,0,0.000430045871559633,0
"0919684f8e2713e742620494b3f288a4",0,0,0.000216438504409935,0,0,0
"5563a6bcdac1ba1fac30775bc46c5ca0",0,0,0,0,7.16743119266055e-05,0
"518694d602c11524cec2bb350f3835ba",0,0,0.0128239813862886,0,0,0
"5eccecd2e05eefeca407ecac6a541b31",0,0,0.000703425139332287,0,0,0
"39873e0e9d3165ebde914998e33c5ad2",0,0,0,0,0,0.000488360735796842
"b6eebb823068116d1e2992e9ca11629d",0.00127186009538951,0,0,0,0.00415711009174312,0
"95cf38cae7ccc04e805b96a674bd0442",0,0,0.000757534765434771,0,0,0
"523737ca4fcb4098d7da1b255cea612e",0,0,0.00757534765434771,0,0.00318950688073394,0
"f81e789bab471039d4ecb1d203aa0cc0",0,0.0367293835068054,0,0,0,0.23913397362852
"450a348d479601013dcac0bf8b6640f9",0,0,0.000108219252204967,0,0,0
"bf737a8f64306e3ec0cdaff3896e3eff",0,0,0,0,0.000143348623853211,0
"eec05c59bf5e4559e8c70ad1c1192eb6",0,0,0,0,0.000967603211009174,0
"dfcc308919254fedbae4668b39ecb264",0,0,0,0,3.58371559633028e-05,0
"cd2a0f554ca0dde8048c775233bcb2a7",0,0,0,0,0.000501720183486239,0
"6598526e8266db2d650d2d29249fd527",0,0,0,0,0,0.000406967279830702
"6ae4b962ff31c7df38d451d0da1c8fa6",0,0,0,0,0.000645068807339449,0
"690fdc507268eb6fc01bd708cbf9994d",0,0,0.000486986634922353,0,0,0
"efceb96a79dad926bfca63f68d5387b4",0,0,0,0,0.000179185779816514,0
"f6a5c5131a019c0b021c48b6cfb8ee02",0,0,0,0,3.58371559633028e-05,0
"9eec04e5db44882091b2e3bde877eeb0",0,0,0.00162328878307451,0,0,0
"2f28c6156e9eb49b0392a510593ce847",0,0,0.000432877008819869,0,7.16743119266055e-05,0
"3e03b74a27f44999ce177966652a7fe3",0,0,0,0,0,0.000447664007813772
"834b0a301e579cb1baba81a36ed5c5a5",0,0,0,0,0.000107511467889908,0
"81ac9057f98704c6a25f5e2e3265fed6",0,0,0.000324657756614902,0,0,0
"88f11736c24b4627372278b986dec093",0,0,0,0,0.00207855504587156,0
"a91ae1b4cf024d3a04d9a1ad3f77a3b7",0,0,0,0,0.000107511467889908,0
"4b4a948a14dd79fb524895711b0c5a70",0,0,0,0,0.000322534403669725,0
"48eea5c1ccc11117b1b1125b0767448d",0,0,0,0,7.16743119266055e-05,0
"26794b3d2039ecb6ac8e094659b0d164",0,0,0.000649315513229804,0,0,0
"489b66162fa35dc726e13876644806eb",0,0,0,0,0.000179185779816514,0
"582f8b6d2c279295fd2f2ae97f1879a3",0,0,0,0,0.000215022935779817,0
"4b2a62232f300200004789e84db2f2f6",0,0,0.00389589307937882,0,0.000107511467889908,0
"5197904e3d6705fafab0c9bc7512994c",0,0,0.00119041177425464,0,0,0
"a401a223bf7f715291ea110f38cb5b0f",0,0,0.00259726205291921,0,0,0
"a07570279b70d73f0bb58d9827eb09d9",0,0,0.0194794653968941,0,0.00286697247706422,0
"eb18e22a5bd270350795e2ce7d5dc4d4",0,0,0.000486986634922353,0,0,0
"587a0606b24db52ca037cc6f7a6bdfa6",0,0,0,0,7.16743119266055e-05,0
"1f79ee52d85ff8e7dd388f95e7ff7398",0,0,0.000324657756614902,0,0,0
"aa9411df03c2d2497d74b053e23b5def",0,0,5.41096261024836e-05,0,0.000752580275229358,0
"3485942730de1c9b73a957ea4c9d9753",0,0,0,0,0.000179185779816514,0
"f8ba1e15436ce7f6b76fc3ef33a8f325",0,0,0.000108219252204967,0,0,0
"49d948c8ceccd52776df4d23560ca01d",0,0,0.000757534765434771,0,0,0
"23538e837a7c30a268c0da9078505d39",0,0,0,0,0.000107511467889908,0
"6e6ca0f34fb21d96435f48c67fa529aa",0,0,0.000270548130512418,0,0,0
"798a4407b5053dafad1e8b1774d9f711",0,0,0.000541096261024836,0,0,0
"9be5f658c7d3dc56dfbaf3c5925c5317",0,0,0,0,0.0012543004587156,0
"73abc1e448efb6f87cdf0acadc6bddd9",0,0,0.000162328878307451,0,0,0
"15d84b470701feb4910261f9403ba998",0,0,0.00119041177425464,0,0,0
"b96a55adb155d8c676e400ce57225b19",0,0,0.000108219252204967,0,0,0
"4e0b9e50460f10768426e0ae78f5fd07",0,0,0,0,0.000179185779816514,0
"9e0d05dfe49aedfcf3517b1643013917",0,0,0.000162328878307451,0,0,0
"a960428bbde597a5affa035a40e7aa7e",0,0,0.000108219252204967,0,0,0
"1b5a0c274334b70aa13d66775a65654a",0,0,0.000378767382717385,0,0,0
"08fcb4842a3dc70efafb5bfea8297a6a",0,0,0,0,0.000215022935779817,0
"8c57ef52b53db99aabd8470e5749e768",0,0,0,0,3.58371559633028e-05,0
"c8cd7166ab72bb1d481c15a71573aeff",0,0,0,0,0.000179185779816514,0
"d0a1ce5c4bf094ac9dabed6957ff6bb3",0,0,0,0,0.00107511467889908,0
"83153f7b33079323b0309709ea7f3168",0,0,0,0,0.000465883027522936,0
"b46346ec8b3a6073f16ebb2d99f70457",0,0,5.41096261024836e-05,0,0,0
"189c8c627d09e3ff748b5a367c69502a",0,0,0,0,0.000752580275229358,0
"d21850f1de5242f8caff2726ae32181e",0,0,0,0,0.000215022935779817,0
"882d0d43b58008a067ea54077b7acbee",0,0,0.00119041177425464,0,0,0
"9ecca3427e1ba4c339bd4c560ad7b59e",0,0,0.000649315513229804,0,0,0
"5a2641e2c0905e9f26f1d7b695c1934c",0,0,0,0,0.000430045871559633,0
"b96c694290017d66f4814c6c669e7bd5",0,0,0.000649315513229804,0,0,0
"69117b1c8692c55cd3aaca809137857f",0,0,0.00384178345327634,0,0,0
"399b2627ab11989cc03bf4a21c3e0811",0,0,0,0,0.000645068807339449,0
